campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,intent_score,local_intent_score,commercial_intent_score,relevance_score,negative_risk_score,recommended_match_type,status_recommendation,notes
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care reviews,autocomplete,sprinter mobile care reviews,24,25,24,50,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care san diego,autocomplete,sprinter mobile care san diego,24,25,24,50,38,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care san diego reviews,autocomplete,sprinter mobile care san diego reviews,24,25,24,50,74,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,sprinter phone service,autocomplete,sprinter phone service,16,0,24,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter repair near me,autocomplete,sprinter repair near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service center near me,autocomplete,sprinter service center near me,32,25,36,90,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service near kent,related_searches,sprinter service near kent,24,25,24,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service near me,seed,sprinter service near me,32,25,36,90,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,Sprinter service near me prices,related_searches,sprinter service near me prices,32,25,36,90,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter van service near me,autocomplete,sprinter van service near me,40,25,48,100,0,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,Used sprinter service near me,related_searches,used sprinter service near me,32,25,36,90,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,"Van Maintenance, Inspection & MOT Services",organic_title,van maintenance inspection mot services,23,0,36,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,What is included in Mercedes Sprinter Service A?,paa,what is included in mercedes sprinter service a,23,0,36,75,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,What is the difference between Sprinter Service A and B?,paa,what is the difference between sprinter service a and b,16,0,24,50,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remap van,Best fuel economy remap van,related_searches,best fuel economy remap van,47,0,72,100,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Best van economy remap,related_searches,best van economy remap,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,Best van economy tune,related_searches,best van economy tune,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Can an MOT detect a remap?,paa,can an mot detect a remap,8,0,12,25,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,van economy remap,Disadvantages of remapping a car,related_searches,disadvantages of remapping a car,16,0,24,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Does a remap improve fuel economy?,paa,does a remap improve fuel economy,18,0,28,87,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,van economy tune,Does a tune improve fuel economy?,paa,does a tune improve fuel economy,18,0,28,72,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,van economy tune,Eco Tuning,organic_title,eco tuning,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Economy Remap,organic_title,economy remap,18,0,28,62,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Economy remap near me,related_searches,economy remap near me,35,25,40,62,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Economy remap vs stage 1,related_searches,economy remap vs stage 1,18,0,28,47,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Economy Tuning,organic_title,economy tuning,8,0,12,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Fuel Economy,organic_title,fuel economy,10,0,16,47,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy mapping,autocomplete,fuel economy mapping,10,0,16,62,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap,autocomplete;related_searches,fuel economy remap,39,0,60,100,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap uk,autocomplete,fuel economy remap uk,39,0,60,100,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap van,seed,fuel economy remap van,47,0,72,100,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,Fuel economy remap van cost,related_searches,fuel economy remap van cost,47,0,72,100,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,Fuel Economy Tune in Derby,organic_title,fuel economy tune in derby,29,0,44,84,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,Get my car tuned,related_searches,get my car tuned,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,How can I improve a van's fuel economy?,paa,how can i improve a van s fuel economy,18,0,28,87,32,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,van economy remap,How to increase MPG on a van?,paa,how to increase mpg on a van,8,0,12,25,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,van economy tune,How to tune a diesel engine for fuel economy?,paa,how to tune a diesel engine for fuel economy,18,0,28,72,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,van economy remap,Is an economy remap worth it?,paa,is an economy remap worth it,18,0,28,62,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,van economy remap,Is remapping a van a good idea?,paa,is remapping a van a good idea,16,0,24,35,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,van economy tune,Quantum tuning remap,related_searches,quantum tuning remap,16,0,24,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Remap calculator stage 2,related_searches,remap calculator stage 2,8,0,12,25,35,negative,exclude_negative,Matched risk phrase: 'stage 2'.
Van Tuning,Van Economy Tune,fuel economy remap van,Remap mpg calculator,related_searches,remap mpg calculator,8,0,12,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Remap near me,related_searches,remap near me,24,25,24,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Remapping A Van,organic_title,remapping a van,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Stage 1 remap fuel economy,related_searches,stage 1 remap fuel economy,18,0,28,87,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,The courier's guide to engine remapping,organic_title,the courier s guide to engine remapping,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,van economy remap,seed,van economy remap,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Van economy remap calculator,related_searches,van economy remap calculator,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Van economy remap cost,related_searches,van economy remap cost,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Van economy remap price,related_searches,van economy remap price,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,van economy tune,seed,van economy tune,36,0,56,99,0,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,Van economy tune near me,related_searches,van economy tune near me,53,25,68,99,0,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy remap,Van ECU Remapping,organic_title,van ecu remapping,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Van remapping near me,related_searches,van remapping near me,32,25,36,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Van Tuning,related_searches,van tuning,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,Van Tuning & ECU Remapping,organic_title,van tuning ecu remapping,23,0,36,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Van Tuning Guide 2025 | Torque & MPG Gains with a Remap,organic_title,van tuning guide 2025 torque mpg gains with a remap,23,0,36,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Load & Driveability Tune,van economy tune,Van Tuning that delivers driveability,organic_title,van tuning that delivers driveability,16,0,24,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,What is an economy tune?,paa,what is an economy tune,18,0,28,62,100,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remap van,What MPG Gains Will I Get From Remapping,organic_title,what mpg gains will i get from remapping,8,0,12,10,32,phrase,review,Elevated risk or weak fit; manual review suggested.
